lat,lon,city_name,year,cluster
35.0104,-3.0073,Al Aaroui,2004,High
35.0104,-3.0073,Al Aaroui,2009,High
35.0104,-3.0073,Al Aaroui,2010,High
35.0104,-3.0073,Al Aaroui,2013,High
35.0104,-3.0073,Al Aaroui,1982,Medium
35.0104,-3.0073,Al Aaroui,1984,Medium
35.0104,-3.0073,Al Aaroui,1986,Medium
35.0104,-3.0073,Al Aaroui,1987,Medium
35.0104,-3.0073,Al Aaroui,1990,Medium
35.0104,-3.0073,Al Aaroui,1991,Medium
35.0104,-3.0073,Al Aaroui,1994,Medium
35.0104,-3.0073,Al Aaroui,1996,Medium
35.0104,-3.0073,Al Aaroui,1997,Medium
35.0104,-3.0073,Al Aaroui,1998,Medium
35.0104,-3.0073,Al Aaroui,2001,Medium
35.0104,-3.0073,Al Aaroui,2002,Medium
35.0104,-3.0073,Al Aaroui,2003,Medium
35.0104,-3.0073,Al Aaroui,2005,Medium
35.0104,-3.0073,Al Aaroui,2008,Medium
35.0104,-3.0073,Al Aaroui,2011,Medium
35.0104,-3.0073,Al Aaroui,2012,Medium
35.0104,-3.0073,Al Aaroui,2015,Medium
35.0104,-3.0073,Al Aaroui,2017,Medium
35.0104,-3.0073,Al Aaroui,2018,Medium
35.0104,-3.0073,Al Aaroui,2019,Medium
35.0104,-3.0073,Al Aaroui,2020,Medium
35.0104,-3.0073,Al Aaroui,1983,Low
35.0104,-3.0073,Al Aaroui,1985,Low
35.0104,-3.0073,Al Aaroui,1988,Low
35.0104,-3.0073,Al Aaroui,1989,Low
35.0104,-3.0073,Al Aaroui,1992,Low
35.0104,-3.0073,Al Aaroui,1993,Low
35.0104,-3.0073,Al Aaroui,1995,Low
35.0104,-3.0073,Al Aaroui,1999,Low
35.0104,-3.0073,Al Aaroui,2000,Low
35.0104,-3.0073,Al Aaroui,2006,Low
35.0104,-3.0073,Al Aaroui,2007,Low
35.0104,-3.0073,Al Aaroui,2014,Low
35.0104,-3.0073,Al Aaroui,2016,Low
